Portfolio,Region,N_firms,Ownership_mean,Ownership_min,Ownership_max
P1,Asia-Pacific,170,23.31,20.0,26.46
P1,EM ex-Asia,14,22.39,20.07,25.54
P1,Europe,27,23.07,20.41,26.32
P1,North America,47,22.91,20.25,26.44
P2,Asia-Pacific,194,30.07,26.48,34.04
P2,EM ex-Asia,14,29.73,26.81,33.83
P2,Europe,20,29.28,26.5,33.8
P2,North America,29,29.81,26.97,33.71
P3,Asia-Pacific,191,39.02,34.05,43.59
P3,EM ex-Asia,11,38.4,34.96,42.12
P3,Europe,20,37.51,34.66,43.35
P3,North America,33,39.02,34.1,43.71
P4,Asia-Pacific,205,49.9,43.76,56.84
P4,EM ex-Asia,12,50.73,44.05,56.25
P4,Europe,22,51.52,45.76,56.24
P4,North America,19,49.24,43.74,56.23
P5,Asia-Pacific,202,68.69,56.87,99.03
P5,EM ex-Asia,22,72.85,58.01,99.81
P5,Europe,20,70.38,58.23,89.44
P5,North America,13,71.57,57.11,93.15
